,home_team,away_team,H,D,A,game_id
2,Manchester City,Watford,0.988,0.006,0.006,Manchester CityWatford
3,Norwich City,Newcastle Utd,0.08800000000000001,0.138,0.775,Norwich CityNewcastle Utd
4,Brentford,Tottenham,0.075,0.13699999999999998,0.789,BrentfordTottenham
5,Brighton,Southampton,0.46,0.36,0.18,BrightonSouthampton
6,Burnley,Wolves,0.106,0.21100000000000002,0.6829999999999999,BurnleyWolves
7,Chelsea,West Ham,0.87,0.087,0.043,ChelseaWest Ham
8,Liverpool,Everton,0.9690000000000001,0.025,0.006,LiverpoolEverton
9,Crystal Palace,Leeds United,0.53,0.341,0.128,Crystal PalaceLeeds United
0,Newcastle Utd,Liverpool,0.033,0.02,0.9470000000000001,Newcastle UtdLiverpool
1,Aston Villa,Norwich City,0.9490000000000001,0.045,0.006,Aston VillaNorwich City
2,Southampton,Crystal Palace,0.446,0.49700000000000005,0.057,SouthamptonCrystal Palace
3,Watford,Burnley,0.306,0.363,0.331,WatfordBurnley
4,Wolves,Brighton,0.758,0.159,0.083,WolvesBrighton
5,Leeds United,Manchester City,0.0,0.025,0.975,Leeds UnitedManchester City
6,Everton,Chelsea,0.063,0.075,0.862,EvertonChelsea
7,Tottenham,Leicester City,0.843,0.132,0.025,TottenhamLeicester City
8,West Ham,Arsenal,0.177,0.39899999999999997,0.424,West HamArsenal
9,Manchester Utd,Brentford,0.899,0.08199999999999999,0.019,Manchester UtdBrentford
0,Brentford,Southampton,0.48100000000000004,0.327,0.192,BrentfordSouthampton
1,Burnley,Aston Villa,0.212,0.276,0.513,BurnleyAston Villa
2,Chelsea,Wolves,0.904,0.08900000000000001,0.006,ChelseaWolves
3,Crystal Palace,Watford,0.821,0.109,0.071,Crystal PalaceWatford
4,Brighton,Manchester Utd,0.05,0.17600000000000002,0.774,BrightonManchester Utd
5,Liverpool,Tottenham,0.938,0.044000000000000004,0.019,LiverpoolTottenham
6,Arsenal,Leeds United,0.932,0.055999999999999994,0.012,ArsenalLeeds United
7,Leicester City,Everton,0.604,0.258,0.138,Leicester CityEverton
8,Norwich City,West Ham,0.031,0.08199999999999999,0.887,Norwich CityWest Ham
9,Manchester City,Newcastle Utd,0.9,0.094,0.006,Manchester CityNewcastle Utd
0,Manchester Utd,Chelsea,0.13,0.268,0.602,Manchester UtdChelsea
1,Tottenham,Burnley,0.98,0.006999999999999999,0.013000000000000001,TottenhamBurnley
2,Aston Villa,Crystal Palace,0.608,0.327,0.065,Aston VillaCrystal Palace
3,Leeds United,Brighton,0.405,0.275,0.32,Leeds UnitedBrighton
4,Watford,Leicester City,0.039,0.092,0.8690000000000001,WatfordLeicester City
5,West Ham,Manchester City,0.052000000000000005,0.13699999999999998,0.81,West HamManchester City
6,Wolves,Norwich City,0.935,0.046,0.02,WolvesNorwich City
7,Everton,Brentford,0.682,0.182,0.136,EvertonBrentford
8,Newcastle Utd,Arsenal,0.083,0.134,0.7829999999999999,Newcastle UtdArsenal
9,Southampton,Liverpool,0.006,0.019,0.975,SouthamptonLiverpool
0,Arsenal,Everton,0.878,0.094,0.028999999999999998,ArsenalEverton
1,Brentford,Leeds United,0.48200000000000004,0.209,0.309,BrentfordLeeds United
2,Brighton,West Ham,0.151,0.28800000000000003,0.561,BrightonWest Ham
3,Burnley,Newcastle Utd,0.243,0.207,0.55,BurnleyNewcastle Utd
4,Chelsea,Watford,0.986,0.006999999999999999,0.006999999999999999,ChelseaWatford
5,Crystal Palace,Manchester Utd,0.065,0.252,0.6829999999999999,Crystal PalaceManchester Utd
6,Leicester City,Southampton,0.843,0.136,0.021,Leicester CitySouthampton
7,Liverpool,Wolves,0.978,0.013999999999999999,0.006999999999999999,LiverpoolWolves
8,Manchester City,Aston Villa,0.893,0.086,0.021,Manchester CityAston Villa
9,Norwich City,Tottenham,0.0,0.021,0.9790000000000001,Norwich CityTottenham
