,HomeTeam,AwayTeam,FTR,H,D,A,player_stats_vote
174,Watford,Norwich City,A,0.5170416666666666,0.2757083333333333,0.20724999999999993,H
175,Everton,Aston Villa,A,0.40626190476190466,0.2890773809523809,0.30466071428571434,H
176,Brentford,Wolves,A,0.3343854166666668,0.3152589285714285,0.3503556547619048,A
177,Leeds United,Newcastle Utd,A,0.612395833333333,0.18372916666666675,0.20387499999999995,H
178,Manchester Utd,West Ham,H,0.4470208333333334,0.2305,0.3224791666666667,H
179,Southampton,Manchester City,D,0.09899999999999999,0.09808333333333334,0.8029166666666668,A
180,Arsenal,Burnley,D,0.5685208333333333,0.20512500000000003,0.22635416666666672,H
181,Crystal Palace,Liverpool,A,0.141922619047619,0.177889880952381,0.6801874999999995,A
182,Leicester City,Brighton,D,0.5251845238095237,0.20489583333333333,0.26991964285714287,H
183,Chelsea,Tottenham,H,0.36231101190476184,0.24793005952380956,0.3897589285714285,A
184,Burnley,Watford,D,0.28575,0.3557500000000002,0.3585000000000001,A
185,Newcastle Utd,Everton,H,0.2892291666666666,0.2576904761904761,0.45308035714285694,A
186,West Ham,Watford,H,0.598142857142857,0.1981160714285715,0.20374107142857145,H
187,Burnley,Manchester Utd,D,0.1536666666666667,0.2586964285714287,0.5876369047619047,A
188,Manchester City,Brentford,H,0.6599791666666666,0.14478670634920635,0.195234126984127,H
189,Norwich City,Crystal Palace,D,0.24748065476190476,0.207029761904762,0.5454895833333333,A
190,Tottenham,Southampton,A,0.6477306547619045,0.1716264880952381,0.18064285714285722,H
191,Aston Villa,Leeds United,D,0.43992559523809516,0.23322916666666668,0.3268452380952382,H
192,Liverpool,Leicester City,H,0.6077291666666668,0.13563690476190474,0.2566339285714287,H
193,Wolves,Arsenal,A,0.17734523809523803,0.19500000000000003,0.627654761904762,A
194,Manchester Utd,Southampton,D,0.48750297619047606,0.26952827380952393,0.24296875,H
195,Brentford,Crystal Palace,D,0.20677083333333332,0.34254572510822506,0.45068344155844176,A
196,Everton,Leeds United,H,0.36722321428571425,0.304575396825397,0.3282013888888889,H
197,Watford,Brighton,A,0.28266666666666684,0.283514880952381,0.4338184523809524,A
198,Norwich City,Manchester City,A,0.09915476190476191,0.10912499999999997,0.791720238095238,A
199,Burnley,Liverpool,A,0.11193303571428569,0.1974568452380951,0.6906101190476188,A
200,Newcastle Utd,Aston Villa,H,0.31899702380952394,0.3083333333333334,0.3726696428571427,A
201,Tottenham,Wolves,A,0.5604583333333331,0.2073541666666667,0.23218749999999994,H
202,Leicester City,West Ham,D,0.29458333333333336,0.3091041666666666,0.39631249999999996,A
203,Manchester Utd,Brighton,H,0.4883958333333334,0.21229166666666666,0.29931250000000004,H
204,West Ham,Newcastle Utd,D,0.7087202380952381,0.1414494047619047,0.14983035714285714,H
205,Arsenal,Brentford,H,0.7271830357142854,0.13210714285714287,0.1407098214285714,H
206,Aston Villa,Watford,A,0.6395386904761903,0.1806904761904762,0.17977083333333335,H
207,Brighton,Burnley,A,0.6961875000000001,0.1717916666666667,0.1320208333333333,H
208,Crystal Palace,Chelsea,A,0.16112499999999996,0.38010416666666685,0.45877083333333313,A
209,Liverpool,Norwich City,H,0.6621160714285717,0.13774999999999996,0.2001339285714286,H
210,Southampton,Everton,H,0.48016666666666674,0.22366220238095244,0.2961711309523809,H
211,Manchester City,Tottenham,A,0.5216592261904763,0.18826339285714294,0.2900773809523811,H
212,Leeds United,Manchester Utd,A,0.18665922619047623,0.34519940476190486,0.4681413690476193,A
213,Wolves,Leicester City,H,0.42854761904761923,0.22279464285714287,0.3486577380952381,H
214,Burnley,Tottenham,H,0.3092008928571428,0.2413020833333334,0.4494970238095237,A
215,Watford,Crystal Palace,A,0.3839097222222221,0.1865208333333333,0.4295694444444442,A
216,Liverpool,Leeds United,H,0.5696249999999999,0.2408779761904762,0.18949702380952382,H
217,Arsenal,Wolves,H,0.4818467261904761,0.26822916666666674,0.24992410714285715,H
218,Southampton,Norwich City,H,0.5515119047619046,0.23074702380952392,0.21774107142857133,H
219,Leeds United,Tottenham,A,0.20483333333333323,0.24214285714285722,0.5530238095238096,A
220,Brentford,Newcastle Utd,A,0.43051041666666656,0.22753124999999996,0.3419583333333335,H
221,Crystal Palace,Burnley,D,0.4792916666666667,0.2740937500000001,0.24661458333333336,H
222,Manchester Utd,Watford,D,0.7220416666666667,0.1141145833333333,0.16384375,H
223,Brighton,Aston Villa,A,0.3692400793650794,0.2612738095238095,0.3694861111111112,A
224,Everton,Manchester City,A,0.1822261904761905,0.23646428571428565,0.5813095238095234,A
225,West Ham,Wolves,H,0.45272321428571416,0.22838095238095238,0.31889583333333343,H
226,Burnley,Leicester City,A,0.2525446428571429,0.2584226190476191,0.48903273809523784,A
227,Leicester City,Leeds United,H,0.45379166666666676,0.26762499999999995,0.27858333333333346,H
228,Aston Villa,Southampton,H,0.3035982142857143,0.23536259920634922,0.46103918650793624,A
229,Burnley,Chelsea,A,0.14921428571428566,0.17906696428571434,0.6717187499999998,A
230,Newcastle Utd,Brighton,H,0.3479999999999999,0.20945833333333325,0.4425416666666665,A
231,Norwich City,Brentford,A,0.373264880952381,0.35730654761904757,0.26942857142857146,H
232,Wolves,Crystal Palace,A,0.6523333333333332,0.13302083333333334,0.21464583333333334,H
233,Liverpool,West Ham,H,0.5305724206349206,0.2652415674603174,0.20418601190476193,H
234,Watford,Arsenal,A,0.16018749999999993,0.10720535714285712,0.7326071428571426,A
235,Manchester City,Manchester Utd,H,0.5302291666666669,0.15732142857142853,0.31244940476190475,H
236,Tottenham,Everton,H,0.547596726190476,0.27494791666666674,0.17745535714285715,H
237,Norwich City,Chelsea,A,0.1427440476190476,0.2235208333333334,0.6337351190476189,A
238,Southampton,Newcastle Utd,A,0.5176805555555556,0.22797222222222224,0.2543472222222223,H
239,Wolves,Watford,H,0.5434166666666664,0.20483333333333342,0.2517499999999999,H
240,Leeds United,Aston Villa,A,0.321782738095238,0.3554136904761906,0.32280357142857147,D
241,Brighton,Liverpool,A,0.19600099206349214,0.15428273809523815,0.6497162698412694,A
242,Brentford,Burnley,H,0.3819404761904762,0.2598749999999999,0.35818452380952365,H
243,Manchester Utd,Tottenham,H,0.4171517857142856,0.2554419642857143,0.32740625000000007,H
244,Chelsea,Newcastle Utd,H,0.5456517857142857,0.21388095238095237,0.24046726190476198,H
245,Everton,Wolves,A,0.22497619047619055,0.2576741071428571,0.5173497023809523,A
246,Leeds United,Norwich City,H,0.5235208333333333,0.2984479166666667,0.17803124999999995,H
247,Southampton,Watford,A,0.6004494047619048,0.1602083333333333,0.23934226190476185,H
248,West Ham,Aston Villa,H,0.36306249999999984,0.28822916666666676,0.3487083333333333,H
249,Arsenal,Leicester City,H,0.46978273809523796,0.22784523809523816,0.3023720238095238,H
250,Crystal Palace,Manchester City,D,0.20435416666666664,0.19895535714285725,0.596690476190476,A
251,Brighton,Tottenham,A,0.20628869047619047,0.2861160714285714,0.5075952380952379,A
252,Arsenal,Liverpool,A,0.26069742063492063,0.17767410714285714,0.5616284722222219,A
253,Everton,Newcastle Utd,H,0.3678928571428572,0.22434821428571425,0.4077589285714284,A
254,Wolves,Leeds United,A,0.6789999999999996,0.1141875,0.20681250000000007,H
255,Aston Villa,Arsenal,A,0.3279583333333332,0.20069345238095238,0.4713482142857142,A
256,Leicester City,Brentford,H,0.5971964285714286,0.2514494047619048,0.15135416666666668,H
257,Tottenham,West Ham,H,0.47513095238095227,0.26557589285714295,0.2592931547619048,H
258,Liverpool,Watford,H,0.7157391774891775,0.1456517857142857,0.13860903679653674,H
259,Brighton,Norwich City,D,0.6312410714285712,0.19971726190476194,0.16904166666666667,H
260,Burnley,Manchester City,A,0.13374702380952377,0.1893645833333334,0.6768883928571425,A
261,Chelsea,Brentford,A,0.597425595238095,0.17786607142857153,0.22470833333333332,H
262,Leeds United,Southampton,D,0.3041845238095238,0.15629166666666663,0.5395238095238094,A
263,Wolves,Aston Villa,H,0.3948958333333333,0.21654166666666672,0.3885625,H
264,Manchester Utd,Leicester City,D,0.5401666666666665,0.25350595238095236,0.206327380952381,H
265,West Ham,Everton,H,0.648985119047619,0.17082738095238095,0.18018750000000006,H
266,Tottenham,Newcastle Utd,H,0.6950892857142855,0.10994642857142856,0.1949642857142857,H
267,Crystal Palace,Arsenal,H,0.20268749999999996,0.27545833333333336,0.5218541666666667,A
268,Burnley,Everton,H,0.2868616071428574,0.3853154761904763,0.32782291666666663,D
269,Newcastle Utd,Wolves,H,0.3572708333333334,0.35637202380952376,0.2863571428571429,H
270,Everton,Manchester Utd,H,0.2633184523809523,0.17502976190476183,0.5616517857142856,A
271,Arsenal,Brighton,A,0.6472529761904761,0.15875892857142862,0.1939880952380953,H
272,Southampton,Chelsea,A,0.2617559523809524,0.21669940476190475,0.5215446428571427,A
273,Watford,Leeds United,A,0.33381249999999985,0.3109583333333334,0.35522916666666676,A
274,Aston Villa,Tottenham,A,0.2899315476190476,0.260827380952381,0.44924107142857145,A
275,Brentford,West Ham,H,0.20481547619047621,0.20808928571428573,0.5870952380952381,A
276,Leicester City,Crystal Palace,H,0.5250952380952381,0.29887500000000006,0.17602976190476194,H
277,Norwich City,Burnley,H,0.2864166666666667,0.35977380952380955,0.35380952380952363,D
278,Manchester City,Liverpool,D,0.40257738095238094,0.2488229166666667,0.3485997023809522,H
279,Tottenham,Brighton,A,0.6364296536796533,0.23497619047619053,0.12859415584415587,H
280,Manchester Utd,Norwich City,H,0.737880952380952,0.1334523809523809,0.12866666666666668,H
281,Southampton,Arsenal,H,0.3040208333333334,0.32849999999999996,0.36747916666666675,A
282,Watford,Brentford,A,0.33625892857142864,0.36765625,0.2960848214285714,D
283,Newcastle Utd,Leicester City,H,0.2731458333333335,0.2807886904761905,0.44606547619047626,A
284,West Ham,Burnley,D,0.493,0.2540625,0.25293750000000015,H
285,Liverpool,Manchester Utd,H,0.6131339285714287,0.14131845238095236,0.24554761904761904,H
286,Chelsea,Arsenal,A,0.4510982142857143,0.18504166666666663,0.363860119047619,H
287,Everton,Leicester City,D,0.3251279761904762,0.1949761904761904,0.4798958333333333,A
288,Newcastle Utd,Crystal Palace,H,0.3285431547619049,0.2453616071428572,0.42609523809523814,A
289,Manchester City,Brighton,H,0.8043660714285713,0.09737499999999999,0.0982589285714286,H
290,Burnley,Southampton,H,0.4026488095238093,0.23721577380952374,0.3601354166666666,H
291,Arsenal,Manchester Utd,H,0.3774166666666666,0.21622916666666675,0.4063541666666666,A
292,Leicester City,Aston Villa,D,0.334297619047619,0.25934523809523813,0.4063571428571428,A
293,Manchester City,Watford,H,0.6957619047619048,0.13477976190476185,0.16945833333333332,H
294,Norwich City,Newcastle Utd,A,0.3168125,0.1382291666666666,0.5449583333333334,A
295,Brentford,Tottenham,D,0.19261309523809525,0.15643898809523807,0.6509479166666666,A
296,Brighton,Southampton,D,0.28222023809523816,0.31012797619047605,0.4076517857142856,A
297,Burnley,Wolves,H,0.3405758928571426,0.20285714285714285,0.4565669642857144,A
298,Chelsea,West Ham,H,0.6770833333333333,0.11147916666666668,0.21143750000000008,H
299,Liverpool,Everton,H,0.6645348124098124,0.19080654761904758,0.1446586399711399,H
300,Crystal Palace,Leeds United,D,0.5270406746031743,0.23972023809523815,0.23323908730158735,H
