,A,D,H
50,0.3195446428571429,0.2523541666666666,0.42810119047619055
51,0.21333333333333335,0.12931249999999997,0.6573541666666665
52,0.2794494047619047,0.18044047619047618,0.540110119047619
53,0.1461130952380952,0.14049999999999999,0.7133869047619044
54,0.3300744047619048,0.32047321428571435,0.3494523809523809
55,0.2529062500000001,0.18663541666666666,0.5604583333333334
56,0.5870744047619048,0.22266666666666654,0.1902589285714286
57,0.462625,0.3560625000000001,0.18131250000000002
58,0.3297291666666666,0.26099999999999995,0.40927083333333336
59,0.4129761904761905,0.28882291666666676,0.29820089285714285
60,0.3428124999999999,0.32791369047619057,0.3292738095238095
61,0.34327083333333325,0.373625,0.2831041666666667
62,0.2529776785714286,0.26487053571428576,0.4821517857142857
63,0.19326934523809525,0.1618422619047619,0.6448883928571426
64,0.5500937499999999,0.27953273809523826,0.1703735119047619
65,0.4077142857142858,0.22982440476190472,0.3624613095238094
66,0.43168551587301585,0.20760119047619058,0.36071329365079363
67,0.48707629870129865,0.2972570346320349,0.2156666666666666
68,0.3142916666666668,0.37745833333333323,0.3082499999999999
69,0.4101547619047619,0.3001041666666667,0.28974107142857136
70,0.3359642857142858,0.19141369047619047,0.4726220238095239
71,0.3968402777777778,0.2533958333333334,0.3497638888888888
72,0.15572619047619046,0.19906845238095233,0.6452053571428571
73,0.12105208333333328,0.16670833333333332,0.7122395833333333
74,0.41711309523809526,0.2337708333333333,0.34911607142857143
75,0.20924999999999996,0.16423511904761906,0.6265148809523808
76,0.27853571428571433,0.14189880952380948,0.5795654761904764
77,0.4359017857142856,0.2135565476190476,0.35054166666666675
78,0.5576249999999999,0.2520520833333333,0.1903229166666667
79,0.6217569444444442,0.18718750000000003,0.19105555555555553
80,0.5856339285714287,0.20614880952380954,0.20821726190476203
81,0.3709166666666667,0.25152083333333336,0.3775625000000001
82,0.39416666666666667,0.3547708333333334,0.2510625
83,0.34598106060606065,0.3516647727272727,0.3023541666666667
84,0.32309077380952383,0.3967842261904762,0.2801250000000001
85,0.502,0.2775238095238096,0.22047619047619044
86,0.3002916666666667,0.29516666666666663,0.40454166666666663
87,0.18421875000000004,0.1783363095238095,0.6374449404761904
88,0.1745922619047619,0.20994642857142862,0.6154613095238092
89,0.22415178571428573,0.20234821428571428,0.5734999999999999
90,0.25864285714285723,0.24537499999999998,0.49598214285714276
91,0.2237053571428572,0.1956875,0.5806071428571428
92,0.20746726190476195,0.16458928571428572,0.6279434523809522
93,0.5745624999999999,0.19540624999999995,0.23003125000000002
94,0.27758333333333346,0.2871041666666667,0.43531250000000005
95,0.2917886904761905,0.26939880952380946,0.43881249999999994
96,0.2618154761904761,0.22465178571428582,0.513532738095238
97,0.2665744047619048,0.18908035714285706,0.5443452380952382
98,0.15213541666666663,0.07134375,0.7765208333333335
99,0.21689583333333334,0.44774999999999976,0.3353541666666667
100,0.49492559523809526,0.23236011904761905,0.27271428571428585
101,0.4582812499999999,0.2698556547619048,0.2718630952380952
102,0.7685104166666668,0.10545238095238098,0.1260372023809524
