,H,D,A
347,0.08,0.89,0.03
348,0.86,0.03,0.11
349,0.13,0.76,0.11
350,0.25,0.42,0.33
351,0.15,0.78,0.07
352,0.06,0.89,0.05
353,0.13,0.83,0.04
354,0.84,0.05,0.11
355,0.06,0.15,0.79
356,0.73,0.2,0.07
357,0.79,0.13,0.08
358,0.07,0.57,0.36
359,0.18,0.77,0.05
360,0.16,0.11,0.73
361,0.11,0.76,0.13
362,0.67,0.26,0.07
363,0.33,0.48,0.19
364,0.68,0.2,0.12
365,0.86,0.07,0.07
366,0.23,0.74,0.03
367,0.13,0.42,0.45
368,0.25,0.36,0.39
369,0.07,0.79,0.14
370,0.85,0.1,0.05
371,0.75,0.17,0.08
372,0.09,0.84,0.07
373,0.77,0.14,0.09
374,0.27,0.59,0.14
375,0.9,0.07,0.03
376,0.46,0.47,0.07
377,0.8,0.13,0.07
378,0.79,0.17,0.04
379,0.12,0.78,0.1
