,H,D,A
320,0.2,0.72,0.08
321,0.73,0.23,0.04
322,0.06,0.9,0.04
323,0.77,0.18,0.05
324,0.24,0.73,0.03
325,0.28,0.46,0.26
326,0.27,0.11,0.62
327,0.9,0.09,0.01
328,0.02,0.27,0.71
329,0.07,0.89,0.04
330,0.79,0.14,0.07
331,0.88,0.07,0.05
332,0.1,0.85,0.05
333,0.09,0.84,0.07
334,0.93,0.04,0.03
335,0.11,0.17,0.72
336,0.08,0.8,0.12
337,0.34,0.66,0.0
338,0.71,0.14,0.15
339,0.16,0.77,0.07
340,0.11,0.86,0.03
341,0.86,0.11,0.03
342,0.4,0.39,0.21
343,0.11,0.76,0.13
344,0.11,0.82,0.07
345,0.82,0.1,0.08
346,0.13,0.74,0.13
347,0.13,0.77,0.1
348,0.76,0.14,0.1
349,0.1,0.79,0.11
350,0.23,0.49,0.28
351,0.14,0.79,0.07
352,0.08,0.81,0.11
353,0.07,0.8,0.13
354,0.88,0.08,0.04
355,0.05,0.22,0.73
356,0.76,0.06,0.18
357,0.75,0.17,0.08
358,0.13,0.5,0.37
359,0.3,0.66,0.04
360,0.29,0.06,0.65
361,0.1,0.82,0.08
362,0.7,0.16,0.14
363,0.43,0.34,0.23
364,0.77,0.16,0.07
365,0.8,0.09,0.11
366,0.21,0.75,0.04
367,0.3,0.35,0.35
368,0.17,0.4,0.43
369,0.02,0.88,0.1
370,0.82,0.12,0.06
371,0.77,0.11,0.12
372,0.1,0.83,0.07
373,0.9,0.06,0.04
374,0.4,0.33,0.27
375,0.86,0.1,0.04
376,0.42,0.41,0.17
377,0.8,0.15,0.05
378,0.85,0.11,0.04
379,0.1,0.79,0.11
