player,shirtnumber,nationality,position,age,minutes,goals,assists,touches,sca,gca,pens_made,shots_total,shots_on_target,pressures,tackles,interceptions,blocks,xg,xa,passes,passes_pct,progressive_passes,progressive_carries,dribbles_completed,dribbles,matchweek
Trent Alexander-Arnold,66.0,eng ENG,RB,23-044,90.0,0.0,2.0,71.0,6.0,2.0,0.0,3.0,1.0,7.0,1.0,1.0,1.0,0.4,1.0,64.0,82.8,3.0,2.0,1.0,1.0, (Matchweek 12)
Alisson,1.0,br BRA,GK,29-049,90.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,95.8,0.0,0.0,0.0,0.0, (Matchweek 12)
Pierre-Emerick Aubameyang,14.0,ga GAB,FW,32-155,90.0,0.0,0.0,21.0,1.0,0.0,0.0,1.0,1.0,22.0,0.0,0.0,1.0,0.2,0.0,16.0,68.8,0.0,3.0,0.0,0.0, (Matchweek 12)
Alexandre Lacazette,9.0,fr FRA,AM,30-176,66.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,16.0,3.0,1.0,0.0,0.0,0.2,16.0,68.8,4.0,2.0,0.0,0.0, (Matchweek 12)
Martin Ødegaard,8.0,no NOR,AM,22-338,24.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,13.0,69.2,0.0,1.0,0.0,0.0, (Matchweek 12)
Emile Smith Rowe,10.0,eng ENG,LM,21-115,90.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,21.0,85.7,1.0,2.0,0.0,0.0, (Matchweek 12)
Bukayo Saka,7.0,eng ENG,RM,20-076,90.0,0.0,0.0,42.0,1.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,3.0,0.2,0.0,28.0,78.6,3.0,7.0,0.0,1.0, (Matchweek 12)
Albert Sambi Lokonga,23.0,be BEL,DM,22-029,52.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,28.0,82.1,0.0,0.0,1.0,1.0, (Matchweek 12)
Ainsley Maitland-Niles,15.0,eng ENG,DM,24-083,38.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,17.0,82.4,0.0,0.0,0.0,0.0, (Matchweek 12)
Thomas Partey,5.0,gh GHA,DM,28-160,83.0,0.0,0.0,40.0,2.0,0.0,0.0,1.0,1.0,9.0,2.0,0.0,3.0,0.0,0.0,31.0,87.1,2.0,2.0,2.0,3.0, (Matchweek 12)
Mohamed Elneny,25.0,eg EGY,DM,29-132,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,83.3,0.0,0.0,0.0,0.0, (Matchweek 12)
Nuno Tavares,20.0,pt POR,LB,21-298,90.0,0.0,0.0,62.0,1.0,0.0,0.0,0.0,0.0,14.0,4.0,2.0,3.0,0.0,0.0,50.0,70.0,4.0,5.0,2.0,3.0, (Matchweek 12)
Gabriel Dos Santos,6.0,br BRA,CB,23-336,90.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,3.0,0.0,0.0,45.0,84.4,1.0,1.0,1.0,1.0, (Matchweek 12)
Ben White,4.0,eng ENG,CB,24-043,90.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,1.0,0.0,0.0,39.0,71.8,1.0,1.0,0.0,1.0, (Matchweek 12)
Takehiro Tomiyasu,18.0,jp JPN,RB,23-015,90.0,0.0,0.0,55.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.1,43.0,74.4,2.0,0.0,0.0,1.0, (Matchweek 12)
Aaron Ramsdale,32.0,eng ENG,GK,23-190,90.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,74.3,0.0,0.0,0.0,0.0, (Matchweek 12)
Cole Palmer,80.0,eng ENG,FW,19-199,86.0,0.0,0.0,46.0,7.0,1.0,0.0,4.0,1.0,18.0,1.0,1.0,2.0,0.3,0.2,29.0,82.8,4.0,5.0,1.0,2.0, (Matchweek 12)
James Mcatee,87.0,eng ENG,FW,19-034,4.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,75.0,0.0,1.0,1.0,1.0, (Matchweek 12)
Phil Foden,47.0,eng ENG,LW,21-177,57.0,0.0,0.0,57.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.2,0.4,52.0,80.8,5.0,6.0,1.0,1.0, (Matchweek 12)
Riyad Mahrez,26.0,dz ALG,RW,30-273,33.0,0.0,0.0,35.0,0.0,0.0,0.0,2.0,1.0,8.0,1.0,0.0,1.0,0.1,0.0,28.0,92.9,2.0,3.0,1.0,2.0, (Matchweek 12)
Raheem Sterling,7.0,eng ENG,"RW,LW",26-348,90.0,1.0,0.0,62.0,1.0,0.0,0.0,3.0,2.0,14.0,0.0,1.0,1.0,0.8,0.2,40.0,87.5,6.0,6.0,1.0,5.0, (Matchweek 12)
İlkay Gündoğan,8.0,de GER,CM,31-028,90.0,0.0,0.0,76.0,2.0,0.0,0.0,2.0,0.0,10.0,2.0,1.0,1.0,0.2,0.1,66.0,87.9,5.0,6.0,2.0,3.0, (Matchweek 12)
Bernardo Silva,20.0,pt POR,CM,27-103,90.0,1.0,0.0,93.0,2.0,0.0,0.0,2.0,2.0,14.0,2.0,2.0,2.0,0.6,0.0,82.0,93.9,4.0,15.0,2.0,2.0, (Matchweek 12)
Rodri,16.0,es ESP,DM,25-152,90.0,1.0,0.0,124.0,2.0,0.0,0.0,1.0,1.0,16.0,4.0,0.0,1.0,0.0,0.0,114.0,95.6,10.0,9.0,0.0,0.0, (Matchweek 12)
João Cancelo,27.0,pt POR,LB,27-178,90.0,0.0,1.0,120.0,3.0,1.0,0.0,1.0,0.0,5.0,2.0,1.0,2.0,0.0,0.5,111.0,90.1,8.0,7.0,0.0,2.0, (Matchweek 12)
Aymeric Laporte,14.0,es ESP,CB,27-178,75.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,95.0,94.7,5.0,11.0,0.0,0.0, (Matchweek 12)
Nathan Aké,6.0,nl NED,CB,26-276,15.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,17.0,100.0,0.0,1.0,0.0,0.0, (Matchweek 12)
John Stones,5.0,eng ENG,CB,27-177,90.0,0.0,0.0,118.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,110.0,97.3,7.0,21.0,1.0,1.0, (Matchweek 12)
Kyle Walker,2.0,eng ENG,RB,31-177,90.0,0.0,0.0,121.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.2,118.0,93.2,5.0,9.0,1.0,1.0, (Matchweek 12)
Ederson,31.0,br BRA,GK,28-096,90.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,100.0,0.0,0.0,0.0,0.0, (Matchweek 12)
Richarlison,7.0,br BRA,FW,24-195,90.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,1.0,0.0,0.1,0.0,19.0,73.7,1.0,3.0,1.0,1.0, (Matchweek 12)
Andros Townsend,14.0,eng ENG,"AM,DM",30-128,90.0,0.0,0.0,35.0,4.0,0.0,0.0,1.0,1.0,11.0,1.0,1.0,2.0,0.0,0.1,27.0,77.8,5.0,2.0,4.0,7.0, (Matchweek 12)
Demarai Gray,11.0,eng ENG,LM,25-146,16.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,1.0,0.0,1.0, (Matchweek 12)
Alex Iwobi,17.0,ng NGA,RM,25-202,74.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,1.0,0.0,0.1,24.0,66.7,1.0,3.0,2.0,6.0, (Matchweek 12)
Anthony Gordon,24.0,eng ENG,"LM,RM",20-270,90.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,24.0,5.0,1.0,3.0,0.0,0.0,20.0,65.0,2.0,4.0,1.0,2.0, (Matchweek 12)
Fabian Delph,8.0,eng ENG,DM,32-000,62.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,85.0,0.0,0.0,0.0,0.0, (Matchweek 12)
Salomón Rondón,33.0,ve VEN,FW,32-066,28.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,80.0,0.0,1.0,0.0,0.0, (Matchweek 12)
Allan,6.0,br BRA,DM,30-317,89.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,2.0,1.0,0.0,0.0,27.0,74.1,2.0,1.0,0.0,0.0, (Matchweek 12)
Tyler Onyango,62.0,eng ENG,DM,18-262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, (Matchweek 12)
Lucas Digne,12.0,fr FRA,LB,28-124,90.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,2.0,0.0,0.0,24.0,75.0,1.0,1.0,0.0,0.0, (Matchweek 12)
Michael Keane,5.0,eng ENG,CB,28-314,90.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,0.0,23.0,78.3,2.0,0.0,0.0,0.0, (Matchweek 12)
Ben Godfrey,22.0,eng ENG,CB,23-310,90.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,14.0,5.0,5.0,2.0,0.0,0.0,17.0,58.8,1.0,0.0,0.0,0.0, (Matchweek 12)
Séamus Coleman,23.0,ie IRL,RB,33-041,90.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,16.0,3.0,1.0,1.0,0.0,0.0,27.0,74.1,0.0,0.0,1.0,2.0, (Matchweek 12)
Jordan Pickford,1.0,eng ENG,GK,27-259,90.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,27.0,0.0,0.0,0.0,0.0, (Matchweek 12)
Harry Kane,10.0,eng ENG,FW,28-116,90.0,0.0,0.0,46.0,2.0,1.0,0.0,4.0,1.0,11.0,1.0,0.0,1.0,0.7,0.0,24.0,83.3,5.0,5.0,3.0,6.0, (Matchweek 12)
Son Heung-min,7.0,kr KOR,LW,29-136,90.0,0.0,0.0,52.0,2.0,0.0,0.0,2.0,0.0,17.0,1.0,2.0,0.0,0.1,0.0,41.0,78.0,0.0,7.0,5.0,8.0, (Matchweek 12)
Lucas Moura,27.0,br BRA,RW,29-100,87.0,0.0,1.0,53.0,4.0,1.0,0.0,1.0,0.0,16.0,4.0,0.0,0.0,0.1,0.4,34.0,55.9,4.0,9.0,2.0,4.0, (Matchweek 12)
Dele Alli,20.0,eng ENG,RW,25-224,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, (Matchweek 12)
Harry Winks,8.0,eng ENG,DM,25-292,90.0,0.0,0.0,58.0,1.0,0.0,0.0,0.0,0.0,25.0,3.0,3.0,2.0,0.0,0.0,45.0,84.4,7.0,2.0,0.0,0.0, (Matchweek 12)
Pierre Højbjerg,5.0,dk DEN,DM,26-108,90.0,1.0,0.0,69.0,4.0,0.0,0.0,2.0,1.0,24.0,3.0,3.0,1.0,0.2,0.1,57.0,86.0,5.0,2.0,0.0,2.0, (Matchweek 12)
Sergio Reguilón,3.0,es ESP,WB,24-340,78.0,1.0,0.0,48.0,1.0,0.0,0.0,2.0,1.0,15.0,2.0,6.0,3.0,0.7,0.3,30.0,53.3,2.0,4.0,0.0,4.0, (Matchweek 12)
Ryan Sessegnon,19.0,eng ENG,WB,21-187,12.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,9.0,44.4,0.0,1.0,0.0,0.0, (Matchweek 12)
Emerson,12.0,br BRA,WB,22-311,90.0,0.0,0.0,53.0,1.0,0.0,0.0,0.0,0.0,31.0,6.0,3.0,5.0,0.0,0.0,37.0,75.7,2.0,5.0,0.0,0.0, (Matchweek 12)
Ben Davies,33.0,wls WAL,CB,28-211,90.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,3.0,1.0,0.3,0.0,23.0,82.6,3.0,2.0,0.0,0.0, (Matchweek 12)
Eric Dier,15.0,eng ENG,CB,27-310,90.0,0.0,0.0,73.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.1,0.3,61.0,83.6,7.0,2.0,0.0,0.0, (Matchweek 12)
Japhet Tanganga,25.0,eng ENG,CB,22-235,67.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,35.0,74.3,4.0,4.0,0.0,1.0, (Matchweek 12)
Davinson Sánchez,6.0,co COL,CB,25-162,23.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.1,6.0,100.0,1.0,1.0,0.0,0.0, (Matchweek 12)
Hugo Lloris,1.0,fr FRA,GK,34-330,90.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,84.0,0.0,0.0,0.0,0.0, (Matchweek 12)
Joe Gelhardt,30.0,eng ENG,FW,19-201,86.0,0.0,0.0,34.0,1.0,0.0,0.0,4.0,2.0,22.0,0.0,0.0,1.0,0.3,0.0,19.0,78.9,1.0,4.0,4.0,6.0, (Matchweek 12)
