player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,matchweek
Łukasz Fabiański,4.0,4.0,1.0,25.0,2.8, (Matchweek 28)
Orestis Karnezis,2.0,0.0,2.0,100.0,0.7, (Matchweek 28)
Jordan Pickford,5.0,1.0,4.0,80.0,0.8, (Matchweek 28)
Wayne Hennessey,4.0,1.0,3.0,75.0,1.6, (Matchweek 28)
Hugo Lloris,3.0,0.0,3.0,100.0,0.1, (Matchweek 28)
David de Gea,6.0,1.0,5.0,83.3,1.1, (Matchweek 28)
Thibaut Courtois,5.0,2.0,3.0,60.0,2.4, (Matchweek 28)
Petr Čech,5.0,3.0,2.0,40.0,2.7, (Matchweek 28)
Ederson,4.0,0.0,4.0,100.0,0.5, (Matchweek 28)
Nick Pope,4.0,1.0,3.0,75.0,1.3, (Matchweek 29)
Jordan Pickford,8.0,2.0,6.0,75.0,2.3, (Matchweek 29)
Orestis Karnezis,2.0,0.0,2.0,100.0,0.2, (Matchweek 29)
Ben Foster,3.0,1.0,2.0,66.7,1.1, (Matchweek 29)
Łukasz Fabiański,2.0,1.0,1.0,50.0,0.6, (Matchweek 29)
Adrián,6.0,4.0,3.0,50.0,2.7, (Matchweek 29)
Kasper Schmeichel,2.0,1.0,2.0,100.0,0.5, (Matchweek 29)
Asmir Begović,4.0,1.0,3.0,75.0,0.4, (Matchweek 29)
Alex McCarthy,3.0,0.0,3.0,100.0,0.4, (Matchweek 29)
Jack Butland,6.0,0.0,6.0,100.0,0.6, (Matchweek 29)
Hugo Lloris,2.0,0.0,2.0,100.0,0.0, (Matchweek 29)
Jonas Lössl,7.0,2.0,5.0,71.4,2.2, (Matchweek 29)
Loris Karius,2.0,0.0,2.0,100.0,0.8, (Matchweek 29)
Martin Dúbravka,3.0,2.0,1.0,33.3,0.8, (Matchweek 29)
Mathew Ryan,7.0,1.0,6.0,85.7,1.1, (Matchweek 29)
Petr Čech,6.0,2.0,4.0,66.7,1.4, (Matchweek 29)
Ederson,0.0,0.0,0.0,0.0,0.0, (Matchweek 29)
Thibaut Courtois,2.0,1.0,1.0,50.0,0.8, (Matchweek 29)
Wayne Hennessey,7.0,3.0,4.0,57.1,2.3, (Matchweek 29)
David de Gea,4.0,2.0,2.0,50.0,1.5, (Matchweek 29)
David de Gea,2.0,1.0,2.0,50.0,0.0, (Matchweek 30)
Loris Karius,2.0,2.0,0.0,0.0,1.4, (Matchweek 30)
Joe Hart,4.0,3.0,1.0,25.0,2.2, (Matchweek 30)
Nick Pope,4.0,0.0,4.0,100.0,0.9, (Matchweek 30)
Martin Dúbravka,2.0,0.0,2.0,100.0,0.3, (Matchweek 30)
Alex McCarthy,5.0,3.0,2.0,40.0,2.0, (Matchweek 30)
Ben Foster,6.0,4.0,2.0,33.3,3.0, (Matchweek 30)
Kasper Schmeichel,2.0,1.0,0.0,50.0,0.8, (Matchweek 30)
Jordan Pickford,4.0,0.0,4.0,100.0,0.2, (Matchweek 30)
Mathew Ryan,2.0,2.0,1.0,0.0,2.0, (Matchweek 30)
Jonas Lössl,0.0,0.0,0.0,0.0,0.0, (Matchweek 30)
Łukasz Fabiański,4.0,0.0,3.0,100.0,0.4, (Matchweek 30)
Thibaut Courtois,2.0,1.0,1.0,50.0,0.3, (Matchweek 30)
Wayne Hennessey,8.0,2.0,7.0,75.0,1.3, (Matchweek 30)
Petr Čech,3.0,0.0,3.0,100.0,1.8, (Matchweek 30)
Orestis Karnezis,7.0,3.0,4.0,57.1,1.3, (Matchweek 30)
Asmir Begović,8.0,4.0,4.0,50.0,2.7, (Matchweek 30)
Hugo Lloris,3.0,1.0,2.0,66.7,0.7, (Matchweek 30)
Jack Butland,6.0,2.0,4.0,66.7,1.8, (Matchweek 30)
Ederson,0.0,0.0,0.0,0.0,0.0, (Matchweek 30)
Jack Butland,8.0,2.0,6.0,75.0,2.4, (Matchweek 31)
Jordan Pickford,4.0,1.0,3.0,75.0,1.0, (Matchweek 31)
Asmir Begović,5.0,1.0,4.0,80.0,1.3, (Matchweek 31)
Ben Foster,5.0,2.0,3.0,60.0,0.9, (Matchweek 31)
Jonas Lössl,4.0,2.0,3.0,75.0,2.0, (Matchweek 31)
Wayne Hennessey,2.0,0.0,2.0,100.0,0.4, (Matchweek 31)
Loris Karius,1.0,0.0,1.0,100.0,0.1, (Matchweek 31)
Orestis Karnezis,10.0,5.0,5.0,50.0,4.0, (Matchweek 31)
Wayne Hennessey,6.0,2.0,4.0,66.7,1.3, (Matchweek 32)
Loris Karius,2.0,1.0,2.0,100.0,1.4, (Matchweek 32)
David de Gea,2.0,0.0,2.0,100.0,0.3, (Matchweek 32)
Łukasz Fabiański,5.0,2.0,3.0,60.0,2.7, (Matchweek 32)
Mathew Ryan,5.0,2.0,3.0,60.0,2.0, (Matchweek 32)
Kasper Schmeichel,2.0,0.0,2.0,100.0,1.0, (Matchweek 32)
Ben Foster,4.0,2.0,2.0,50.0,1.8, (Matchweek 32)
