player,team,matchweek,date,start11
Adama Traoré,Wolverhampton Wanderers,6.0,2019-09-22,True
John Ruddy,Wolverhampton Wanderers,6.0,2019-09-22,False
Jesús Vallejo,Wolverhampton Wanderers,6.0,2019-09-22,False
Pedro Neto,Wolverhampton Wanderers,6.0,2019-09-22,False
Rúben Neves,Wolverhampton Wanderers,6.0,2019-09-22,False
Patrick Cutrone,Wolverhampton Wanderers,6.0,2019-09-22,False
Morgan Gibbs-White,Wolverhampton Wanderers,6.0,2019-09-22,False
Rúben Vinagre,Wolverhampton Wanderers,6.0,2019-09-22,False
Łukasz Fabiański,West Ham United,6.0,2019-09-22,True
Aaron Cresswell,West Ham United,6.0,2019-09-22,True
Andriy Yarmolenko,West Ham United,6.0,2019-09-22,True
Felipe Anderson,West Ham United,6.0,2019-09-22,True
Mark Noble,West Ham United,6.0,2019-09-22,True
Pablo Fornals,West Ham United,6.0,2019-09-22,True
Angelo Ogbonna,West Ham United,6.0,2019-09-22,True
Sébastien Haller,West Ham United,6.0,2019-09-22,True
Issa Diop,West Ham United,6.0,2019-09-22,True
Ryan Fredericks,West Ham United,6.0,2019-09-22,True
Declan Rice,West Ham United,6.0,2019-09-22,True
Roberto,West Ham United,6.0,2019-09-22,False
Fabián Balbuena,West Ham United,6.0,2019-09-22,False
Pablo Zabaleta,West Ham United,6.0,2019-09-22,False
Robert Snodgrass,West Ham United,6.0,2019-09-22,False
Carlos Sánchez,West Ham United,6.0,2019-09-22,False
Jack Wilshere,West Ham United,6.0,2019-09-22,False
Albian Ajeti,West Ham United,6.0,2019-09-22,False
David de Gea,Manchester United,6.0,2019-09-22,True
Victor Lindelöf,Manchester United,6.0,2019-09-22,True
Harry Maguire,Manchester United,6.0,2019-09-22,True
Juan Mata,Manchester United,6.0,2019-09-22,True
Marcus Rashford,Manchester United,6.0,2019-09-22,True
Andreas Pereira,Manchester United,6.0,2019-09-22,True
Ashley Young,Manchester United,6.0,2019-09-22,True
Daniel James,Manchester United,6.0,2019-09-22,True
Aaron Wan-Bissaka,Manchester United,6.0,2019-09-22,True
Nemanja Matić,Manchester United,6.0,2019-09-22,True
Scott McTominay,Manchester United,6.0,2019-09-22,True
Sergio Romero,Manchester United,6.0,2019-09-22,False
Jesse Lingard,Manchester United,6.0,2019-09-22,False
Marcos Rojo,Manchester United,6.0,2019-09-22,False
Fred,Manchester United,6.0,2019-09-22,False
Angel Gomes,Manchester United,6.0,2019-09-22,False
Axel Tuanzebe,Manchester United,6.0,2019-09-22,False
Tahith Chong,Manchester United,6.0,2019-09-22,False
Bernd Leno,Arsenal,6.0,2019-09-22,True
Sokratis Papastathopoulos,Arsenal,6.0,2019-09-22,True
Dani Ceballos,Arsenal,6.0,2019-09-22,True
Pierre-Emerick Aubameyang,Arsenal,6.0,2019-09-22,True
Ainsley Maitland-Niles,Arsenal,6.0,2019-09-22,True
Nicolas Pépé,Arsenal,6.0,2019-09-22,True
David Luiz,Arsenal,6.0,2019-09-22,True
Mattéo Guendouzi,Arsenal,6.0,2019-09-22,True
Sead Kolašinac,Arsenal,6.0,2019-09-22,True
Granit Xhaka,Arsenal,6.0,2019-09-22,True
Bukayo Saka,Arsenal,6.0,2019-09-22,True
Emiliano Martínez,Arsenal,6.0,2019-09-22,False
Mesut Özil,Arsenal,6.0,2019-09-22,False
Lucas Torreira,Arsenal,6.0,2019-09-22,False
Calum Chambers,Arsenal,6.0,2019-09-22,False
Reiss Nelson,Arsenal,6.0,2019-09-22,False
Joe Willock,Arsenal,6.0,2019-09-22,False
Martinelli,Arsenal,6.0,2019-09-22,False
Tom Heaton,Aston Villa,6.0,2019-09-22,True
Neil Taylor,Aston Villa,6.0,2019-09-22,True
John McGinn,Aston Villa,6.0,2019-09-22,True
Wesley Moraes,Aston Villa,6.0,2019-09-22,True
Jack Grealish,Aston Villa,6.0,2019-09-22,True
Marvelous Nakamba,Aston Villa,6.0,2019-09-22,True
Trézéguet,Aston Villa,6.0,2019-09-22,True
Anwar El Ghazi,Aston Villa,6.0,2019-09-22,True
Björn Engels,Aston Villa,6.0,2019-09-22,True
Frederic Guilbert,Aston Villa,6.0,2019-09-22,True
Tyrone Mings,Aston Villa,6.0,2019-09-22,True
Jed Steer,Aston Villa,6.0,2019-09-22,False
Henri Lansbury,Aston Villa,6.0,2019-09-22,False
Conor Hourihane,Aston Villa,6.0,2019-09-22,False
Ezri Konsa,Aston Villa,6.0,2019-09-22,False
Jota,Aston Villa,6.0,2019-09-22,False
Ahmed Elmohamady,Aston Villa,6.0,2019-09-22,False
Keinan Davis,Aston Villa,6.0,2019-09-22,False
Kepa Arrizabalaga,Chelsea,6.0,2019-09-22,True
Andreas Christensen,Chelsea,6.0,2019-09-22,True
Jorginho,Chelsea,6.0,2019-09-22,True
N'Golo Kanté,Chelsea,6.0,2019-09-22,True
Tammy Abraham,Chelsea,6.0,2019-09-22,True
Willian,Chelsea,6.0,2019-09-22,True
Mateo Kovačić,Chelsea,6.0,2019-09-22,True
Mason Mount,Chelsea,6.0,2019-09-22,True
César Azpilicueta,Chelsea,6.0,2019-09-22,True
Fikayo Tomori,Chelsea,6.0,2019-09-22,True
Emerson Palmieri,Chelsea,6.0,2019-09-22,True
Willy Caballero,Chelsea,6.0,2019-09-22,False
Marcos Alonso,Chelsea,6.0,2019-09-22,False
Ross Barkley,Chelsea,6.0,2019-09-22,False
Pedro,Chelsea,6.0,2019-09-22,False
Kurt Zouma,Chelsea,6.0,2019-09-22,False
Christian Pulisic,Chelsea,6.0,2019-09-22,False
Michy Batshuayi,Chelsea,6.0,2019-09-22,False
Adrián,Liverpool,6.0,2019-09-22,True
Fabinho,Liverpool,6.0,2019-09-22,True
Virgil van Dijk,Liverpool,6.0,2019-09-22,True
Georginio Wijnaldum,Liverpool,6.0,2019-09-22,True
Roberto Firmino,Liverpool,6.0,2019-09-22,True
Sadio Mané,Liverpool,6.0,2019-09-22,True
Mohamed Salah,Liverpool,6.0,2019-09-22,True
Jordan Henderson,Liverpool,6.0,2019-09-22,True
Andrew Robertson,Liverpool,6.0,2019-09-22,True
Joël Matip,Liverpool,6.0,2019-09-22,True
Trent Alexander-Arnold,Liverpool,6.0,2019-09-22,True
Caoimhín Kelleher,Liverpool,6.0,2019-09-22,False
James Milner,Liverpool,6.0,2019-09-22,False
Joe Gomez,Liverpool,6.0,2019-09-22,False
Alex Oxlade-Chamberlain,Liverpool,6.0,2019-09-22,False
Adam Lallana,Liverpool,6.0,2019-09-22,False
Xherdan Shaqiri,Liverpool,6.0,2019-09-22,False
Rhian Brewster,Liverpool,6.0,2019-09-22,False
Dean Henderson,Sheffield United,7.0,2019-09-28,True
George Baldock,Sheffield United,7.0,2019-09-28,True
Enda Stevens,Sheffield United,7.0,2019-09-28,True
John Fleck,Sheffield United,7.0,2019-09-28,True
Jack O'Connell,Sheffield United,7.0,2019-09-28,True
Chris Basham,Sheffield United,7.0,2019-09-28,True
John Lundstram,Sheffield United,7.0,2019-09-28,True
Oliver McBurnie,Sheffield United,7.0,2019-09-28,True
Callum Robinson,Sheffield United,7.0,2019-09-28,True
John Egan,Sheffield United,7.0,2019-09-28,True
Oliver Norwood,Sheffield United,7.0,2019-09-28,True
Simon Moore,Sheffield United,7.0,2019-09-28,False
Luke Freeman,Sheffield United,7.0,2019-09-28,False
Phil Jagielka,Sheffield United,7.0,2019-09-28,False
Lys Mousset,Sheffield United,7.0,2019-09-28,False
Ben Osborn,Sheffield United,7.0,2019-09-28,False
Leon Clarke,Sheffield United,7.0,2019-09-28,False
Muhamed Bešić,Sheffield United,7.0,2019-09-28,False
Adrián,Liverpool,7.0,2019-09-28,True
Fabinho,Liverpool,7.0,2019-09-28,True
Virgil van Dijk,Liverpool,7.0,2019-09-28,True
Georginio Wijnaldum,Liverpool,7.0,2019-09-28,True
Roberto Firmino,Liverpool,7.0,2019-09-28,True
Sadio Mané,Liverpool,7.0,2019-09-28,True
Mohamed Salah,Liverpool,7.0,2019-09-28,True
Jordan Henderson,Liverpool,7.0,2019-09-28,True
Andrew Robertson,Liverpool,7.0,2019-09-28,True
Joël Matip,Liverpool,7.0,2019-09-28,True
Trent Alexander-Arnold,Liverpool,7.0,2019-09-28,True
Caoimhín Kelleher,Liverpool,7.0,2019-09-28,False
Dejan Lovren,Liverpool,7.0,2019-09-28,False
James Milner,Liverpool,7.0,2019-09-28,False
Joe Gomez,Liverpool,7.0,2019-09-28,False
Alex Oxlade-Chamberlain,Liverpool,7.0,2019-09-28,False
Adam Lallana,Liverpool,7.0,2019-09-28,False
Divock Origi,Liverpool,7.0,2019-09-28,False
Aaron Ramsdale,Bournemouth,7.0,2019-09-28,True
Steve Cook,Bournemouth,7.0,2019-09-28,True
Nathan Aké,Bournemouth,7.0,2019-09-28,True
Joshua King,Bournemouth,7.0,2019-09-28,True
Jefferson Lerma,Bournemouth,7.0,2019-09-28,True
Dominic Solanke,Bournemouth,7.0,2019-09-28,True
Callum Wilson,Bournemouth,7.0,2019-09-28,True
Jack Stacey,Bournemouth,7.0,2019-09-28,True
Diego Rico,Bournemouth,7.0,2019-09-28,True
Harry Wilson,Bournemouth,7.0,2019-09-28,True
Philip Billing,Bournemouth,7.0,2019-09-28,True
Artur Boruc,Bournemouth,7.0,2019-09-28,False
Simon Francis,Bournemouth,7.0,2019-09-28,False
Andrew Surman,Bournemouth,7.0,2019-09-28,False
Jordon Ibe,Bournemouth,7.0,2019-09-28,False
Arnaut Groeneveld,Bournemouth,7.0,2019-09-28,False
Lewis Cook,Bournemouth,7.0,2019-09-28,False
Chris Mepham,Bournemouth,7.0,2019-09-28,False
Łukasz Fabiański,West Ham United,7.0,2019-09-28,True
Aaron Cresswell,West Ham United,7.0,2019-09-28,True
Andriy Yarmolenko,West Ham United,7.0,2019-09-28,True
Felipe Anderson,West Ham United,7.0,2019-09-28,True
Mark Noble,West Ham United,7.0,2019-09-28,True
Pablo Fornals,West Ham United,7.0,2019-09-28,True
Angelo Ogbonna,West Ham United,7.0,2019-09-28,True
Sébastien Haller,West Ham United,7.0,2019-09-28,True
Issa Diop,West Ham United,7.0,2019-09-28,True
Ryan Fredericks,West Ham United,7.0,2019-09-28,True
Declan Rice,West Ham United,7.0,2019-09-28,True
Roberto,West Ham United,7.0,2019-09-28,False
Fabián Balbuena,West Ham United,7.0,2019-09-28,False
Pablo Zabaleta,West Ham United,7.0,2019-09-28,False
Manuel Lanzini,West Ham United,7.0,2019-09-28,False
Robert Snodgrass,West Ham United,7.0,2019-09-28,False
Jack Wilshere,West Ham United,7.0,2019-09-28,False
Albian Ajeti,West Ham United,7.0,2019-09-28,False
Rui Patrício,Wolverhampton Wanderers,7.0,2019-09-28,True
Matt Doherty,Wolverhampton Wanderers,7.0,2019-09-28,True
Pedro Neto,Wolverhampton Wanderers,7.0,2019-09-28,True
Raúl Jiménez,Wolverhampton Wanderers,7.0,2019-09-28,True
Willy Boly,Wolverhampton Wanderers,7.0,2019-09-28,True
Conor Coady,Wolverhampton Wanderers,7.0,2019-09-28,True
Jonny Castro,Wolverhampton Wanderers,7.0,2019-09-28,True
Romain Saïss,Wolverhampton Wanderers,7.0,2019-09-28,True
