player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,def_actions_outside_pen_area_gk,Team,matchweek
Marius Funk,4.0,4.0,1.0,25.0,3.7,5.0,32.0,4.0,40.6,4.0,Greuther Fürth,9.0
Stefan Ortega,6.0,3.0,4.0,66.7,2.1,8.0,41.0,4.0,51.2,0.0,Arminia,9.0
Gregor Kobel,2.0,0.0,2.0,100.0,0.8,2.0,23.0,2.0,21.7,0.0,Dortmund,9.0
Marwin Hitz,4.0,1.0,4.0,100.0,1.3,2.0,20.0,5.0,15.0,0.0,Dortmund,9.0
Alexander Schwolow,1.0,0.0,1.0,100.0,0.0,8.0,31.0,4.0,48.4,0.0,Hertha BSC,9.0
Yann Sommer,4.0,1.0,3.0,75.0,0.8,5.0,19.0,5.0,21.1,3.0,Mönchengladbach,9.0
Timo Horn,5.0,2.0,3.0,60.0,0.8,8.0,34.0,8.0,29.4,0.0,Köln,9.0
Lukáš Hrádecký,5.0,2.0,3.0,60.0,1.2,8.0,28.0,4.0,75.0,1.0,Bayer Leverkusen,9.0
Fabian Bredlow,3.0,1.0,2.0,66.7,0.8,2.0,24.0,3.0,12.5,3.0,Stuttgart,9.0
Andreas Luthe,2.0,1.0,1.0,50.0,0.9,6.0,42.0,3.0,33.3,0.0,Union Berlin,9.0
Manuel Riemann,5.0,0.0,5.0,100.0,1.6,16.0,37.0,0.0,83.8,0.0,Bochum,9.0
Kevin Trapp,7.0,2.0,5.0,71.4,2.2,13.0,47.0,6.0,36.2,3.0,Eintracht Frankfurt,9.0
Oliver Baumann,2.0,0.0,2.0,100.0,0.2,1.0,34.0,4.0,26.5,2.0,Hoffenheim,10.0
Alexander Schwolow,3.0,2.0,1.0,33.3,1.1,6.0,33.0,6.0,36.4,1.0,Hertha BSC,10.0
Mark Flekken,4.0,1.0,3.0,75.0,1.1,9.0,34.0,4.0,44.1,0.0,Freiburg,10.0
Marius Funk,4.0,3.0,3.0,50.0,1.3,4.0,35.0,4.0,34.3,0.0,Greuther Fürth,10.0
Lukáš Hrádecký,8.0,2.0,6.0,75.0,2.2,2.0,23.0,3.0,26.1,0.0,Bayer Leverkusen,10.0
